"country","city","length","accuracy","files"
104,-1,1013,0.999012833168806,"./Temp/BST-Country/104.bst"
105,-1,450,0.995555555555556,"./Temp/BST-Country/105.bst"
106,-1,151,0.854304635761589,"./Temp/BST-Country/106.bst"
108,-1,131,0.885496183206107,"./Temp/BST-Country/108.bst"
109,-1,534,1,"./Temp/BST-Country/109.bst"
110,-1,4,0,"./Temp/BST-Country/110.bst"
111,-1,46,0.0217391304347826,"./Temp/BST-Country/111.bst"
112,-1,143,0.888111888111888,"./Temp/BST-Country/112.bst"
113,-1,13,0,"./Temp/BST-Country/113.bst"
114,-1,395,1,"./Temp/BST-Country/114.bst"
115,-1,6736,0.984857482185273,"./Temp/BST-Country/115.bst"
116,-1,71,0.535211267605634,"./Temp/BST-Country/116.bst"
117,-1,358,0.991620111731844,"./Temp/BST-Country/117.bst"
118,-1,165,0.878787878787879,"./Temp/BST-Country/118.bst"
119,-1,15970,0.825860989355041,"./Temp/BST-Country/119.bst"
120,-1,100,0,"./Temp/BST-Country/120.bst"
121,-1,58,0.586206896551724,"./Temp/BST-Country/121.bst"
122,-1,159,0.861635220125786,"./Temp/BST-Country/122.bst"
123,-1,820,0.998780487804878,"./Temp/BST-Country/123.bst"
124,-1,297,0.986531986531986,"./Temp/BST-Country/124.bst"
125,-1,370,0.997297297297297,"./Temp/BST-Country/125.bst"
126,-1,141,0.865248226950355,"./Temp/BST-Country/126.bst"
127,-1,27,0,"./Temp/BST-Country/127.bst"
128,-1,3,0,"./Temp/BST-Country/128.bst"
129,-1,584,0.998287671232877,"./Temp/BST-Country/129.bst"
130,-1,4131,0.994916485112564,"./Temp/BST-Country/130.bst"
131,-1,690,0.998550724637681,"./Temp/BST-Country/131.bst"
132,-1,4,0,"./Temp/BST-Country/132.bst"
133,-1,30537,0.684841340013754,"./Temp/BST-Country/133.bst"
134,-1,1149,1,"./Temp/BST-Country/134.bst"
135,-1,19,0.0526315789473684,"./Temp/BST-Country/135.bst"
136,-1,203,0.96551724137931,"./Temp/BST-Country/136.bst"
137,-1,103,0.805825242718447,"./Temp/BST-Country/137.bst"
138,-1,100,0,"./Temp/BST-Country/138.bst"
139,-1,6,0,"./Temp/BST-Country/139.bst"
140,-1,2,0,"./Temp/BST-Country/140.bst"
141,-1,2873,1,"./Temp/BST-Country/141.bst"
142,-1,232,0.961206896551724,"./Temp/BST-Country/142.bst"
143,-1,201,0.975124378109453,"./Temp/BST-Country/143.bst"
144,-1,233,0.978540772532189,"./Temp/BST-Country/144.bst"
146,-1,241,0.966804979253112,"./Temp/BST-Country/146.bst"
147,-1,19,0,"./Temp/BST-Country/147.bst"
148,-1,2701,0.996297667530544,"./Temp/BST-Country/148.bst"
149,-1,4261,0.993428772588594,"./Temp/BST-Country/149.bst"
150,-1,315,0.996825396825397,"./Temp/BST-Country/150.bst"
151,-1,80,0.775,"./Temp/BST-Country/151.bst"
152,-1,401,0.997506234413965,"./Temp/BST-Country/152.bst"
153,-1,116,0.741379310344828,"./Temp/BST-Country/153.bst"
154,-1,10635,0.910014104372355,"./Temp/BST-Country/154.bst"
155,-1,199,0.949748743718593,"./Temp/BST-Country/155.bst"
156,-1,580,0.998275862068966,"./Temp/BST-Country/156.bst"
157,-1,108,0.777777777777778,"./Temp/BST-Country/157.bst"
